State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9969620322832298	7.549824329238422E-4	9.987015079706043E-6	3.419730338384751E-5	5.2571263954456835E-6	0.0	0.0	5.1303742031944506E-6	9.261398597776527E-6	3.771887631134211E-5	1.4149542121019574E-5	0.0	0.0	0.002167283647754057	0.0
2	0.041924867479058235	0.9332795529121417	0.007023984918040483	0.0	8.25881281180978E-4	0.0	0.0	0.0	6.578449238187784E-4	3.9717218221104784E-4	4.254156608313556E-4	1.2683518008125555E-4	0.0030983026673934784	0.011477354101006615	7.627886942360655E-4
3	3.252698838426988E-5	9.226729352499415E-4	0.9485213367037233	0.03775130423348694	0.00495285055005924	4.659267971158898E-4	0.0	0.0	0.006140903414878945	0.0	4.058325835767193E-6	0.0	0.0	0.0011986767840242475	9.743267241559153E-6
4	7.518944543498798E-5	0.0	0.012870211477673421	0.9565348252378048	0.010366765689092618	1.3283982081014722E-4	6.214819993762673E-5	0.0	0.012793496288360644	0.0023387583952868235	8.016122763855632E-4	3.2204739661510757E-4	0.0	0.0037021057725982846	0.0
5	4.5683308755313494E-5	9.165066707275114E-5	0.004209314305139288	0.024156842223778834	0.9309996775296133	0.03740689348588706	0.0	0.0	0.0018466751767078542	0.0	1.1447061709872986E-4	0.0010798686907067649	3.4081319221368165E-5	0.0	1.4842676018796414E-5
6	0.0	0.0	0.0013063062161612511	0.001602603101822348	0.14906791667113367	0.7533108961358574	0.06567511928661708	0.0	0.015485369491746007	2.1366884254686358E-4	0.0	0.01333812025411546	0.0	0.0	0.0
7	0.0	0.0	0.0	0.0010762378741851935	0.0	0.1363218054679419	0.7646619186034183	0.026283885291704757	0.0167738914755471	0.0	0.0	0.05488226128720281	0.0	0.0	0.0
8	0.0	3.902683319886911E-5	0.0	0.0	2.1212966945390337E-5	0.0	0.011019963291267759	0.7917382711817397	0.04851691252357147	0.12362337248454572	0.004147432096472199	0.010726382540893104	0.0	0.010167426081365864	0.0
9	1.3528363719843097E-4	0.0	0.024204209379908977	0.1435816754396988	0.008355386378874697	0.019017480421169877	0.010385804944716805	0.07152691599926242	0.72279324379917	0.0	0.0	0.0	0.0	0.0	0.0
10	4.7745352088056115E-4	1.1605329003175823E-4	0.0	0.010259441099865632	0.0	1.6639872685613228E-5	0.0	0.07384745932683669	1.2165120223939964E-6	0.6952941216638405	0.010842229065190511	0.0017507763504093403	0.0030046029067882737	0.20409083021373328	2.9917617771541574E-4
11	1.7106299590043738E-4	6.493618476865119E-5	0.0	0.008371233719367002	7.79101287901821E-4	0.0	0.0	0.006804856321054148	0.0	0.02518597273044291	0.6809154940519344	0.06717825224134015	0.013086400591042963	0.18619647468997966	0.011246215186267922
12	2.661094053720846E-4	1.4132801141134794E-4	0.0	0.004674073590981101	0.007452067642136263	0.022255271356735964	0.04569291542066987	0.02267254420169319	0.0	0.004985538752478727	0.08706825027846554	0.8030462718742801	0.0	0.0017456294657757921	0.0
13	0.0	1.9907468592042586E-4	0.0	0.0	1.391404186856453E-5	0.0	0.0	0.0	0.0	7.374519120533737E-4	0.0015284239024472785	2.6147451582378946E-8	0.9430410571496156	0.04568558410618128	0.00879446805446191
14	5.570125810133623E-4	4.670303218936285E-5	4.413050580875337E-5	4.300053207235573E-4	0.0	0.0	0.0	1.485084419308205E-4	0.0	0.00529247053477243	0.0019046429253964526	1.944238859125933E-5	0.004443097880303877	0.9869798697712245	1.3411661804546476E-4
15	1.7812552365053033E-4	2.1720944873168175E-4	0.0	0.0	2.9999204233317357E-6	3.958424843592794E-5	0.0	1.2168556116880696E-5	0.0	9.95984856429268E-4	0.009817658590188825	1.3983395469505784E-6	0.07243748270733945	0.010363728685079026	0.9059336591240582
