15	10	E	-7643838.196149275	134
transitionprobs	11	9	0.0
transitionprobs	11	10	0.02518597273044291
transitionprobs	11	11	0.6809154940519344
transitionprobs	11	12	0.06717825224134015
transitionprobs	11	13	0.013086400591042963
transitionprobs	11	14	0.18619647468997966
transitionprobs	11	15	0.011246215186267922
transitionprobs	12	1	2.661094053720846E-4
transitionprobs	12	2	1.4132801141134794E-4
transitionprobs	12	3	0.0
transitionprobs	12	4	0.004674073590981101
transitionprobs	12	5	0.007452067642136263
transitionprobs	12	6	0.022255271356735964
transitionprobs	12	7	0.04569291542066987
transitionprobs	12	8	0.02267254420169319
transitionprobs	12	9	0.0
transitionprobs	12	10	0.004985538752478727
transitionprobs	12	11	0.08706825027846554
transitionprobs	12	12	0.8030462718742801
transitionprobs	12	13	0.0
transitionprobs	12	14	0.0017456294657757921
transitionprobs	12	15	0.0
transitionprobs	13	1	0.0
transitionprobs	13	2	1.9907468592042586E-4
transitionprobs	13	3	0.0
transitionprobs	13	4	0.0
transitionprobs	13	5	1.391404186856453E-5
transitionprobs	13	6	0.0
transitionprobs	13	7	0.0
transitionprobs	13	8	0.0
transitionprobs	13	9	0.0
transitionprobs	13	10	7.374519120533737E-4
transitionprobs	13	11	0.0015284239024472785
transitionprobs	13	12	2.6147451582378946E-8
transitionprobs	13	13	0.9430410571496156
transitionprobs	13	14	0.04568558410618128
transitionprobs	13	15	0.00879446805446191
transitionprobs	14	1	5.570125810133623E-4
transitionprobs	14	2	4.670303218936285E-5
transitionprobs	14	3	4.413050580875337E-5
transitionprobs	14	4	4.300053207235573E-4
transitionprobs	14	5	0.0
transitionprobs	14	6	0.0
transitionprobs	14	7	0.0
transitionprobs	14	8	1.485084419308205E-4
transitionprobs	14	9	0.0
transitionprobs	14	10	0.00529247053477243
transitionprobs	14	11	0.0019046429253964526
transitionprobs	14	12	1.944238859125933E-5
transitionprobs	14	13	0.004443097880303877
transitionprobs	14	14	0.9869798697712245
transitionprobs	14	15	1.3411661804546476E-4
transitionprobs	15	1	1.7812552365053033E-4
transitionprobs	15	2	2.1720944873168175E-4
transitionprobs	15	3	0.0
transitionprobs	15	4	0.0
transitionprobs	15	5	2.9999204233317357E-6
transitionprobs	15	6	3.958424843592794E-5
transitionprobs	15	7	0.0
transitionprobs	15	8	1.2168556116880696E-5
transitionprobs	15	9	0.0
transitionprobs	15	10	9.95984856429268E-4
transitionprobs	15	11	0.009817658590188825
transitionprobs	15	12	1.3983395469505784E-6
transitionprobs	15	13	0.07243748270733945
transitionprobs	15	14	0.010363728685079026
transitionprobs	15	15	0.9059336591240582
emissionprobs	1	0	Ezh239875	0	0.999291163920546
emissionprobs	1	0	Ezh239875	1	7.088360794541049E-4
emissionprobs	1	1	H2az	0	0.999893210495562
emissionprobs	1	1	H2az	1	1.0678950443807547E-4
emissionprobs	1	2	H3k09me3	0	0.8888381571204008
emissionprobs	1	2	H3k09me3	1	0.11116184287959913
emissionprobs	1	3	H3k27acStd	0	0.9990620317727391
emissionprobs	1	3	H3k27acStd	1	9.379682272609128E-4
emissionprobs	1	4	H3k27me3Std	0	0.9995386695334614
emissionprobs	1	4	H3k27me3Std	1	4.613304665385967E-4
emissionprobs	1	5	H3k36me3Std	0	0.9992987823802174
emissionprobs	1	5	H3k36me3Std	1	7.012176197824893E-4
emissionprobs	1	6	H3k4me1Std	0	0.9998597168619109
emissionprobs	1	6	H3k4me1Std	1	1.402831380891695E-4
emissionprobs	1	7	H3k79me2	0	0.9999564984721266
emissionprobs	1	7	H3k79me2	1	4.350152787339716E-5
emissionprobs	1	8	H3k9acStd	0	0.9999301061518096
emissionprobs	1	8	H3k9acStd	1	6.989384819044921E-5
emissionprobs	1	9	H3k9me1Std	0	0.9995432575493055
emissionprobs	1	9	H3k9me1Std	1	4.5674245069441934E-4
emissionprobs	2	0	Ezh239875	0	0.8485642032687671
emissionprobs	2	0	Ezh239875	1	0.15143579673123292
emissionprobs	2	1	H2az	0	0.9454292852079018
emissionprobs	2	1	H2az	1	0.05457071479209822
emissionprobs	2	2	H3k09me3	0	0.16460419191291395
emissionprobs	2	2	H3k09me3	1	0.835395808087086
emissionprobs	2	3	H3k27acStd	0	0.9773716951797924
emissionprobs	2	3	H3k27acStd	1	0.022628304820207543
emissionprobs	2	4	H3k27me3Std	0	0.8388472946405556
emissionprobs	2	4	H3k27me3Std	1	0.16115270535944443
emissionprobs	2	5	H3k36me3Std	0	0.6788812406040146
emissionprobs	2	5	H3k36me3Std	1	0.3211187593959854
emissionprobs	2	6	H3k4me1Std	0	0.9756834795588331
emissionprobs	2	6	H3k4me1Std	1	0.024316520441166865
emissionprobs	2	7	H3k79me2	0	0.9792792346537743
emissionprobs	2	7	H3k79me2	1	0.020720765346225658
emissionprobs	2	8	H3k9acStd	0	0.980097698883948
emissionprobs	2	8	H3k9acStd	1	0.019902301116051947
emissionprobs	2	9	H3k9me1Std	0	0.91299107842661
emissionprobs	2	9	H3k9me1Std	1	0.0870089215733901
emissionprobs	3	0	Ezh239875	0	0.998259258839959
emissionprobs	3	0	Ezh239875	1	0.0017407411600409745
emissionprobs	3	1	H2az	0	0.9992165689428635
emissionprobs	3	1	H2az	1	7.834310571364751E-4
emissionprobs	3	2	H3k09me3	0	0.9985585085114183
emissionprobs	3	2	H3k09me3	1	0.001441491488581708
emissionprobs	3	3	H3k27acStd	0	0.9857275514652777
emissionprobs	3	3	H3k27acStd	1	0.014272448534722374
emissionprobs	3	4	H3k27me3Std	0	0.9998861481305611
emissionprobs	3	4	H3k27me3Std	1	1.138518694389838E-4
emissionprobs	3	5	H3k36me3Std	0	0.5704126375018349
emissionprobs	3	5	H3k36me3Std	1	0.429587362498165
emissionprobs	3	6	H3k4me1Std	0	0.9953090514287048
emissionprobs	3	6	H3k4me1Std	1	0.004690948571295129
emissionprobs	3	7	H3k79me2	0	0.9480446809685692
emissionprobs	3	7	H3k79me2	1	0.05195531903143079
emissionprobs	3	8	H3k9acStd	0	0.9985799312431018
emissionprobs	3	8	H3k9acStd	1	0.0014200687568981835
emissionprobs	3	9	H3k9me1Std	0	0.9929826060337729
emissionprobs	3	9	H3k9me1Std	1	0.007017393966227257
emissionprobs	4	0	Ezh239875	0	0.9984384078179006
emissionprobs	4	0	Ezh239875	1	0.0015615921820993147
emissionprobs	4	1	H2az	0	0.9994302760174318
emissionprobs	4	1	H2az	1	5.697239825680479E-4
emissionprobs	4	2	H3k09me3	0	0.9991339481723741
emissionprobs	4	2	H3k09me3	1	8.660518276257932E-4
emissionprobs	4	3	H3k27acStd	0	0.9952327400204908
emissionprobs	4	3	H3k27acStd	1	0.0047672599795091026
emissionprobs	4	4	H3k27me3Std	0	0.9998869029978015
emissionprobs	4	4	H3k27me3Std	1	1.1309700219865083E-4
emissionprobs	4	5	H3k36me3Std	0	0.9603769217041179
emissionprobs	4	5	H3k36me3Std	1	0.03962307829588211
emissionprobs	4	6	H3k4me1Std	0	0.9972199229003563
emissionprobs	4	6	H3k4me1Std	1	0.0027800770996437934
emissionprobs	4	7	H3k79me2	0	0.971714478570712
emissionprobs	4	7	H3k79me2	1	0.02828552142928801
emissionprobs	4	8	H3k9acStd	0	0.9994639785958895
emissionprobs	4	8	H3k9acStd	1	5.360214041104138E-4
emissionprobs	4	9	H3k9me1Std	0	0.9942634158417574
emissionprobs	4	9	H3k9me1Std	1	0.005736584158242693
emissionprobs	5	0	Ezh239875	0	0.9976594819771802
emissionprobs	5	0	Ezh239875	1	0.0023405180228198213
emissionprobs	5	1	H2az	0	0.9992399034147371
emissionprobs	5	1	H2az	1	7.600965852629078E-4
emissionprobs	5	2	H3k09me3	0	0.9969609211566547
emissionprobs	5	2	H3k09me3	1	0.0030390788433453117
emissionprobs	5	3	H3k27acStd	0	0.9902419281643443
emissionprobs	5	3	H3k27acStd	1	0.009758071835655656
emissionprobs	5	4	H3k27me3Std	0	0.9997700557231162
emissionprobs	5	4	H3k27me3Std	1	2.299442768838753E-4
emissionprobs	5	5	H3k36me3Std	0	0.8988849361537657
emissionprobs	5	5	H3k36me3Std	1	0.10111506384623425
emissionprobs	5	6	H3k4me1Std	0	0.9891313398660466
emissionprobs	5	6	H3k4me1Std	1	0.010868660133953423
emissionprobs	5	7	H3k79me2	0	0.2996619388490746
emissionprobs	5	7	H3k79me2	1	0.7003380611509255
emissionprobs	5	8	H3k9acStd	0	0.9987942462462597
emissionprobs	5	8	H3k9acStd	1	0.0012057537537403765
emissionprobs	5	9	H3k9me1Std	0	0.986261000991871
emissionprobs	5	9	H3k9me1Std	1	0.013738999008128996
emissionprobs	6	0	Ezh239875	0	0.994049118421529
emissionprobs	6	0	Ezh239875	1	0.005950881578470984
emissionprobs	6	1	H2az	0	0.9814410752367384
emissionprobs	6	1	H2az	1	0.018558924763261608
emissionprobs	6	2	H3k09me3	0	0.9985474947435433
emissionprobs	6	2	H3k09me3	1	0.0014525052564567762
emissionprobs	6	3	H3k27acStd	0	0.8534231109496457
emissionprobs	6	3	H3k27acStd	1	0.14657688905035426
emissionprobs	6	4	H3k27me3Std	0	0.9997318698166506
emissionprobs	6	4	H3k27me3Std	1	2.681301833493716E-4
emissionprobs	6	5	H3k36me3Std	0	0.8509509596025051
emissionprobs	6	5	H3k36me3Std	1	0.14904904039749492
emissionprobs	6	6	H3k4me1Std	0	0.2511492862545015
emissionprobs	6	6	H3k4me1Std	1	0.7488507137454985
emissionprobs	6	7	H3k79me2	0	0.09637701096497481
emissionprobs	6	7	H3k79me2	1	0.9036229890350251
emissionprobs	6	8	H3k9acStd	0	0.9628047832882429
emissionprobs	6	8	H3k9acStd	1	0.03719521671175705
emissionprobs	6	9	H3k9me1Std	0	0.9722778033959634
emissionprobs	6	9	H3k9me1Std	1	0.027722196604036645
emissionprobs	7	0	Ezh239875	0	0.9948909807779647
emissionprobs	7	0	Ezh239875	1	0.005109019222035372
emissionprobs	7	1	H2az	0	0.8945168842815372
emissionprobs	7	1	H2az	1	0.1054831157184628
emissionprobs	7	2	H3k09me3	0	0.9991415269958513
emissionprobs	7	2	H3k09me3	1	8.584730041486461E-4
emissionprobs	7	3	H3k27acStd	0	0.13679702774828018
emissionprobs	7	3	H3k27acStd	1	0.8632029722517198
emissionprobs	7	4	H3k27me3Std	0	0.9996092742240865
emissionprobs	7	4	H3k27me3Std	1	3.907257759135353E-4
emissionprobs	7	5	H3k36me3Std	0	0.8910682807999064
emissionprobs	7	5	H3k36me3Std	1	0.1089317192000936
emissionprobs	7	6	H3k4me1Std	0	0.058094974656897634
emissionprobs	7	6	H3k4me1Std	1	0.9419050253431024
emissionprobs	7	7	H3k79me2	0	0.130190136642534
emissionprobs	7	7	H3k79me2	1	0.869809863357466
emissionprobs	7	8	H3k9acStd	0	0.3075265124484061
emissionprobs	7	8	H3k9acStd	1	0.6924734875515939
emissionprobs	7	9	H3k9me1Std	0	0.9861599379976076
emissionprobs	7	9	H3k9me1Std	1	0.01384006200239235
emissionprobs	8	0	Ezh239875	0	0.9794892068615618
emissionprobs	8	0	Ezh239875	1	0.0205107931384382
emissionprobs	8	1	H2az	0	0.5524311106615392
emissionprobs	8	1	H2az	1	0.44756888933846095
emissionprobs	8	2	H3k09me3	0	0.9982911855905164
emissionprobs	8	2	H3k09me3	1	0.001708814409483537
emissionprobs	8	3	H3k27acStd	0	0.03785603722329777
emissionprobs	8	3	H3k27acStd	1	0.9621439627767023
emissionprobs	8	4	H3k27me3Std	0	0.9998237473859806
emissionprobs	8	4	H3k27me3Std	1	1.7625261401941228E-4
emissionprobs	8	5	H3k36me3Std	0	0.9951454268364577
emissionprobs	8	5	H3k36me3Std	1	0.004854573163542387
emissionprobs	8	6	H3k4me1Std	0	0.04484045918390095
emissionprobs	8	6	H3k4me1Std	1	0.955159540816099
emissionprobs	8	7	H3k79me2	0	0.9920548934839134
emissionprobs	8	7	H3k79me2	1	0.007945106516086564
emissionprobs	8	8	H3k9acStd	0	0.4118620928160748
emissionprobs	8	8	H3k9acStd	1	0.5881379071839251
emissionprobs	8	9	H3k9me1Std	0	0.9960756160221033
emissionprobs	8	9	H3k9me1Std	1	0.003924383977896806
emissionprobs	9	0	Ezh239875	0	0.9950267237780792
emissionprobs	9	0	Ezh239875	1	0.0049732762219208216
emissionprobs	9	1	H2az	0	0.9741009687293526
emissionprobs	9	1	H2az	1	0.02589903127064733
emissionprobs	9	2	H3k09me3	0	0.9984764917391009
emissionprobs	9	2	H3k09me3	1	0.0015235082608990366
emissionprobs	9	3	H3k27acStd	0	0.719836809781666
emissionprobs	9	3	H3k27acStd	1	0.28016319021833397
emissionprobs	9	4	H3k27me3Std	0	0.9998862441745876
emissionprobs	9	4	H3k27me3Std	1	1.1375582541240836E-4
emissionprobs	9	5	H3k36me3Std	0	0.9048425708053339
emissionprobs	9	5	H3k36me3Std	1	0.095157429194666
emissionprobs	9	6	H3k4me1Std	0	0.2076765549747999
emissionprobs	9	6	H3k4me1Std	1	0.7923234450252
emissionprobs	9	7	H3k79me2	0	0.9089840357337979
emissionprobs	9	7	H3k79me2	1	0.09101596426620201
emissionprobs	9	8	H3k9acStd	0	0.9746889674876293
emissionprobs	9	8	H3k9acStd	1	0.025311032512370765
emissionprobs	9	9	H3k9me1Std	0	0.986662544168449
emissionprobs	9	9	H3k9me1Std	1	0.013337455831551001
emissionprobs	10	0	Ezh239875	0	0.981900783427589
emissionprobs	10	0	Ezh239875	1	0.01809921657241092
emissionprobs	10	1	H2az	0	0.8179518333644404
emissionprobs	10	1	H2az	1	0.1820481666355596
emissionprobs	10	2	H3k09me3	0	0.9979094982695667
emissionprobs	10	2	H3k09me3	1	0.0020905017304333226
emissionprobs	10	3	H3k27acStd	0	0.8822664649341467
emissionprobs	10	3	H3k27acStd	1	0.11773353506585325
emissionprobs	10	4	H3k27me3Std	0	0.9967108344104448
emissionprobs	10	4	H3k27me3Std	1	0.00328916558955513
emissionprobs	10	5	H3k36me3Std	0	0.9993751349501377
emissionprobs	10	5	H3k36me3Std	1	6.248650498623501E-4
emissionprobs	10	6	H3k4me1Std	0	0.2716512681799248
emissionprobs	10	6	H3k4me1Std	1	0.7283487318200752
emissionprobs	10	7	H3k79me2	0	0.999205959359327
emissionprobs	10	7	H3k79me2	1	7.940406406730671E-4
emissionprobs	10	8	H3k9acStd	0	0.9888974850709393
emissionprobs	10	8	H3k9acStd	1	0.011102514929060683
emissionprobs	10	9	H3k9me1Std	0	0.9942754962455981
emissionprobs	10	9	H3k9me1Std	1	0.005724503754401944
emissionprobs	11	0	Ezh239875	0	0.7784882377344555
emissionprobs	11	0	Ezh239875	1	0.22151176226554437
emissionprobs	11	1	H2az	0	0.18575144111221104
emissionprobs	11	1	H2az	1	0.814248558887789
emissionprobs	11	2	H3k09me3	0	0.9986460712951646
emissionprobs	11	2	H3k09me3	1	0.0013539287048353642
emissionprobs	11	3	H3k27acStd	0	0.9653763989952723
emissionprobs	11	3	H3k27acStd	1	0.03462360100472773
emissionprobs	11	4	H3k27me3Std	0	0.9904513741744243
emissionprobs	11	4	H3k27me3Std	1	0.009548625825575682
emissionprobs	11	5	H3k36me3Std	0	0.9994395525273305
emissionprobs	11	5	H3k36me3Std	1	5.604474726694753E-4
emissionprobs	11	6	H3k4me1Std	0	0.8016705345517146
emissionprobs	11	6	H3k4me1Std	1	0.19832946544828534
emissionprobs	11	7	H3k79me2	0	0.9866100661656865
emissionprobs	11	7	H3k79me2	1	0.013389933834313528
emissionprobs	11	8	H3k9acStd	0	0.8228904259845363
emissionprobs	11	8	H3k9acStd	1	0.17710957401546365
emissionprobs	11	9	H3k9me1Std	0	0.9990347257437542
emissionprobs	11	9	H3k9me1Std	1	9.652742562458717E-4
emissionprobs	12	0	Ezh239875	0	0.9585467903109973
emissionprobs	12	0	Ezh239875	1	0.041453209689002825
emissionprobs	12	1	H2az	0	0.222024251154336
emissionprobs	12	1	H2az	1	0.777975748845664
emissionprobs	12	2	H3k09me3	0	0.9988162068592314
emissionprobs	12	2	H3k09me3	1	0.0011837931407685852
emissionprobs	12	3	H3k27acStd	0	0.2750894597267516
emissionprobs	12	3	H3k27acStd	1	0.7249105402732483
emissionprobs	12	4	H3k27me3Std	0	0.9984234797788061
emissionprobs	12	4	H3k27me3Std	1	0.001576520221193932
emissionprobs	12	5	H3k36me3Std	0	0.9993154189349194
emissionprobs	12	5	H3k36me3Std	1	6.845810650806665E-4
emissionprobs	12	6	H3k4me1Std	0	0.9017055526137638
emissionprobs	12	6	H3k4me1Std	1	0.09829444738623613
emissionprobs	12	7	H3k79me2	0	0.42601863893152586
emissionprobs	12	7	H3k79me2	1	0.5739813610684741
emissionprobs	12	8	H3k9acStd	0	0.046431919305870234
emissionprobs	12	8	H3k9acStd	1	0.9535680806941298
emissionprobs	12	9	H3k9me1Std	0	0.999979715191135
emissionprobs	12	9	H3k9me1Std	1	2.028480886495892E-5
emissionprobs	13	0	Ezh239875	0	0.9569633364764579
emissionprobs	13	0	Ezh239875	1	0.04303666352354213
emissionprobs	13	1	H2az	0	0.9983905793430008
emissionprobs	13	1	H2az	1	0.0016094206569992368
emissionprobs	13	2	H3k09me3	0	0.9989556303170916
